andar
0.6251,9.5483,0.0718,-2.0156,-0.3533,0.3259
1.5858,9.9509,0.7425,-1.9315,-0.7593,0.3877
1.5858,9.9509,0.7425,-1.6705,-1.031,0.5613
2.1248,10.4515,1.6481,-1.466,-0.9734,0.6327
1.3892,12.7703,2.1727,-1.466,-0.9734,0.6327
0.6634,13.7139,0.9056,-1.1975,-0.8499,0.6497
-0.134,14.0566,-0.4504,-0.9312,-0.6963,0.6039
-0.134,14.0566,-0.4504,-0.5403,-0.8147,0.3451
-2.7356,13.2351,-0.3474,-0.5403,-0.8147,0.3451
-3.2962,13.1438,-0.0407,-0.3581,-0.8584,0.2908
-3.1669,13.4793,0.2899,-0.16,-0.7966,0.3057
-2.6255,14.1715,0.908,0.0615,-0.7007,0.3366
-2.6255,14.1715,0.908,0.6228,-0.2948,0.3536
-2.5007,14.888,2.1918,1.0287,0.1302,0.3824
-2.6949,15.5539,2.9918,1.5123,0.6234,0.393
-0.7712,15.7095,3.3512,1.5123,0.6234,0.393
-0.3618,14.2122,4.2568,2.0609,0.9334,0.2684
0.1771,11.7666,5.4713,2.6043,0.9813,0.0724
0.5461,9.0021,6.0941,3.0698,1.0111,-0.0649
0.5461,9.0021,6.0941,3.7004,1.0218,-0.0053
2.2828,8.4751,4.6112,3.7004,1.0218,-0.0053
3.0062,10.1855,5.5934,3.4576,0.6862,-0.0159
3.4374,11.575,5.773,3.1817,0.4402,-0.0575
3.2052,13.1151,4.2137,3.204,0.7555,-0.0202
4.0219,14.0829,0.9032,3.4746,1.4457,0.3003
4.0219,14.0829,0.9032,3.8123,2.0721,1.3283
9.5028,14.1931,-4.4819,3.8123,2.0721,1.3283
9.9389,13.6134,-4.8772,3.5907,1.4745,1.3922
7.2248,13.1558,-4.4819,3.351,0.6958,1.1014
4.7767,12.5689,-3.5547,3.0751,-0.038,0.8159
3.1358,12.2888,-2.4097,2.665,-0.3267,0.5912
1.5116,11.8168,-1.0301,2.3038,-0.3693,0.2993
0.752,11.3425,-0.4264,2.0758,-0.299,-0.0031
-0.5892,10.1544,0.5174,2.0183,-0.4375,-0.2588
-2.6207,7.996,2.7667,2.0886,-0.9585,-0.4889
-3.1669,6.2425,4.0578,2.1078,-0.9479,-0.5496
